,sentence,download_link
379,,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
380,"Finally, with respect to throughput, the evidence indicates throughput is declining and is increasingly supplied by uncommitted volumes30.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
381,No significant evidence was tendered to establish that the declines are likely to reverse.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
382,The Commission is of the view,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
383,the most reasonable assumption is that throughput will continue to decline somewhat.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
384,Campus will be required to file throughput data so that interested parties will be informed of actual throughput levels.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
385,Complete cost of service information was not provided to the Commission and a true cost of service toll for service on the Pipeline cannot be exactly determined.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
386,"However, using the agreed upon rate base, Campus’ cost allocation methodology, the Complainants’ depreciation rate and a moderate cost of capital, the Commission estimates that a cost-based toll would likely fall within the range of the previous five-year firm toll of $0.165/GJ and                                                 29",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
387,The Commission gave some weight to the argument of the Complainants that there is previous NEB precedent that changes to pipeline methodology should be underpinned by comprehensive analysis.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
388,"See NEB, Reasons for Decision – TransCanada PipeLines Limited, RH-1-2002, July 2003.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
389,"30 Campus, Response to",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
390,"Commission IR No. 1 at 10 of 12, C08291-2.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
391,https://docs2.cer-rec.gc.ca/ll-eng/llisapi.dll/fetch/2000/90465/92837/3827917/3908276/4017810/3965997/C08291-2_Campus_Response_to_CER_IR_No._1_-_A7I4I9.pdf?nodeid=3966104&vernum=-2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
392,Letter Decision Page 18 of 32,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
393,the proposed five-year firm toll of $0.22/GJ.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
394,"The Commission finds that tolls within this range should adequately protect shippers against Campus’ potential ability to exert market power, while still providing Campus sufficient opportunity to be reasonably compensated.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
395,"The Commission finds that a toll in the above range is just and reasonable and, on that basis, directs Campus",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
396,to re-issue term differentiated tolls not exceeding $0.22/GJ.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
397,"The evidence provided does not establish that the Pipeline is likely to earn an excessive return based on the information currently available, particularly given that realized rates of return on the Pipeline will fluctuate – a risk accepted by Campus.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
398,"The Commission never waives its authority to examine whether the returns earned over time by a pipeline are excessive, even if a market-based toll is approved.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
399,"If circumstances change in the future, a new toll proposal or a complaint may be brought forward.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
400,"However, the Commission encourages Campus and its shippers to work together to find market solutions in the future.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
401,Term Differentiated Fixed Tolls  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
402,The Commission accepts that term differentiated fixed tolls have the benefit of toll stability over a fixed term and incent longer contracting on the Pipeline.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
403,Shippers on the Pipeline have indicated a desire for certainty with respect to tolls on the pipeline.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
404,"By 1 May 2021, Campus is required to file with the CER a toll filing that includes term differentiated firm service tolls not exceeding $0.22/GJ.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
405,Campus must include a two-year firm toll as a recourse toll.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
406,"Depending on the balancing of risks and benefits, the two-year firm toll may or may not include all benefits awarded to longer term commitments such as the right to use ITp service, discussed further below.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
407,Campus bears the risk of underutilization and ultimately fundamental risk.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
408,Campus should set tolls that send the proper price signals to the market and increase utilization.  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
409,Interim Tolls for Firm Service  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
410,The Commission did not receive submissions regarding the interim tolls for firm service.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
411,"The FT tolls to be filed by Campus are approved as final, effective as of the date of this decision and retroactive to the date they were made interim.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
412,Regulatory Filing and Disclosure Requirements,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
413,There was considerable dispute amongst the parties regarding the level of cost of service detail to be provided in response to a complaint.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
414,"With respect to the financial regulation of Group 2 companies, the Filing Manual specifies that every Group 2 company has a responsibility “to provide its shippers and interested parties with sufficient information to enable them to determine whether a complaint is warranted.”",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
415,A Group 2 Company is also required to make copies of tariffs and supporting financial information readily available.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
416,"When a complaint is filed, Guide P of the Filing Manual indicates that the Commission may require some or all information required of Group 1 companies as specified in sections P.1 to P.5.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
417,"With respect to this Application, in its letter of 21 February 2020, the Commission directed Campus to provide the information set out in parts P.1 to P.5.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
418,It was not until the revised Application was filed on 26 June 2020 that both the Complainants and the Commission had sufficient financial information to assess whether the tolls proposed by Campus were just and reasonable.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
419,"In this case, Campus should have offered a more timely response to the Complainants’ requests for financial information.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
420,"Nothing in the Filing Manual, the Group 2 framework, or prior decisions of the NEB or Commission relieves a Group 2 pipeline of the obligation to furnish justification, which includes supporting financial information, for proposed tolls which are the subject of a https://www.cer-rec.gc.ca/en/applications-hearings/submit-applications-documents/filing-manuals/filing-manual/filing-manual.pdf Letter Decision Page 19 of 32 complaint.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
421,"The Commission expects its regulated companies to provide adequate information upon request from the CER and, at all times, to engage fairly and transparently with its shippers and interested parties.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
422,"Specifically, the Commission reiterates that it is imperative that as a Group 2 pipeline, Campus must share underlying financial information, including the information that would be used in cost of service calculations, with its shippers when requested regardless of the toll methodology used on the Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
423,The Commission is not making compliance findings at this time.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
424,However the Commission reminds Campus that the Gas Pipeline Uniform Accounting Regulations require a Group 2 company’s accounting records to provide sufficient information to fully explain the facts pertaining to all entries made in the accounts and maintain records that may be useful in determining the history of or facts pertaining to any transaction.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
425,"Additional Commission Direction  To encourage transparency in Campus’ relationship with current and potential shippers, the Commission directs Campus to provide three months of notice for changes to firm service tolls and IT tolls31.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
426,This does not apply to the discretion regarding IT tolls discussed in section 4.1.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
427,"This will give shippers time to review proposed changes, seek additional information, and file a complaint with the CER if warranted.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
428,Campus is required to include this notice provision in its CER tariff.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
429,The revised tariff must be filed with the CER by 1 May 2021.  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
430,Campus is required to file traffic data with the CER as discussed in section 4.1 and outlined in Condition 3 in TG-003-2021,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
431,(Appendix II).,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
432,Traffic data and financial information can be used in the future to approximate the pipeline’s notional cost-based tolls and ROE.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
433,The Commission believes this data will assist Campus and its shippers in any future negotiations.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
434,"If Campus and its shippers cannot reach agreements, better data will be available in the event the Commission is required to make a decision regarding Campus’ tolls in the future.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
435,"The Commission expects that in the longer term, with the guidance and direction set out in this decision, the accounting and reporting requirements and the sharing of information, the pipeline and shippers can return to a cooperative relationship marked by transparency and resulting in tolls and terms of service that are accepted by the market.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
436,4.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
437,Interruptible Transportation Tolls,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
438,4.1 IT tolls,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
439,Views of Campus Campus proposed to increase its IT tolls on the Pipeline from $0.1815/GJ to $0.32/GJ for IT service.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
440,"Campus also requested the Commission grant Campus the discretion to post a revised IT toll from time to time based on Campus’ assessment of prevailing market conditions, in an amount equal to or less than the proposed IT toll.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
441,Campus stated that the markets have evolved over the last 20 years.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
442,"Throughput on the Pipeline has declined steadily since 2006, with a return to 2017 levels after a temporary uptick in 2018 and 2019.32",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
443,"As of June 2020, there were only two firm service shippers on the                                                 31 See Condition No. 2 in Appendix II.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
444,"32 Campus Final Argument, at 6-7 of 53, C10422-2 which also references Campus evidence.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
445,https://docs2.cer-rec.gc.ca/ll-eng/llisapi.dll/fetch/2000/90465/92837/3827917/3908276/4017810/4031892/C10422-2_Campus_-_Final_Argument_for_North_Suffield_Pipeline_Toll_Application%2C_December_15%2C_2020_-_A7L7V5.pdf?nodeid=4031336&vernum=-2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
446,"Letter Decision Page 20 of 32 Suffield System, and",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
447,only one of them shipped gas on the Pipeline.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
448,"That shipper has a declining volume commitment under the final years of its contract, with the majority of those volumes to be shipped on the South Suffield Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
449,"Campus’ shippers have indicated a preference for shorter-term firm contracts of one to five years, and for interruptible service as the gas supply available in the area served by the Suffield System is declining.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
450,"The Pipeline has averaged only 35 per cent utilization over 2018 through mid-2020, with the majority of volumes increasingly shipped on an interruptible basis.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
451,This virtually guarantees to IT shippers that any IT volumes they nominate will be transported without interruption.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
452,"Campus stated that it is attempting to remain competitive with NGTL, with whom it competes for volumes.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
453,Discretionary IT tolls will allow Campus to improve its flexibility to adapt to the constantly changing dynamics of today’s market for natural gas transportation in the region it operates.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
454,Campus needs this ability to manage its risks and compete in today’s environment.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
455,"Campus referred to RH-003-2011, which provided the ability for TCPL to use discretionary pricing for interruptible services, and said market forces should be met with market solutions that can help to ensure the pipeline remains viable.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
456,"Citing the same decision, Campus submitted that to require it to provide service on cost of service",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
457,based tolls would “be an inefficient and non-sensical outcome” and would result in tolls that Campus could not charge in the market.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
458,"In response to a proposed condition the Commission provided to parties for comment, Campus had no objection to providing traffic data to the CER.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
459,"However, it noted that some or all of that data may have some commercial sensitivity, and so if this condition were imposed, Campus would reserve the right to request that it be permitted to file some or all of this data on a confidential basis.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
460,Views of the Complainants,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
461,The Complainants believe that a ten per cent premium on the Complainant-calculated cost of service toll is appropriate.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
462,"This aligns with the premium previously charged by AltaGas for IT service compared to its shortest-term toll, as well as the premium charged for IT service on the NGTL System.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
463,"The Complainants provided NGTL toll data showing that the IT receipt toll at NGTL Princess is $0.134/GJ and the IT delivery toll is $0.205/GJ at Empress, which is the NGTL path that provides similar service to the Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
464,The Complainants submitted that a higher IT premium would drive excess return for the Pipeline relative to a reasonable return as determined by an appropriately applied cost of service methodology.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
465,"While it may discourage a shipper with true firm requirements from using interruptible service, it would also discourage interruptible use by shippers with true interruptible requirements.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
466,"The Complainants argued that requiring Campus to file traffic data would be helpful to all parties, particularly in the event variable IT pricing is adopted, since it would assist in the assessment of the effectiveness of price signals in attracting incremental volumes to the system.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
467,"If toll pricing, particularly IT toll prices, fail to attract volumes to the system, the Complainants suggested it may be appropriate for the Commission to adjust any IT toll range it sets in this proceeding rather than requiring shippers to incur the considerable expense and the considerable delay involved in a formal toll complaint process.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
468,Letter Decision Page 21 of 32 Rockpoint submitted that it connected its Suffield gas storage facility to the Pipeline to provide the option of delivering gas to either the AECO/NIT market via NGTL or to Burstall via the Pipeline when gas is being withdrawn from storage.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
469,Rockpoint submitted that its connection to the Pipeline cost $1.1 million and became operational on 29 January 2019.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
470,Rockpoint delivered volumes to Campus for a total of 33 days in 2019.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
471,"After Campus’ termination of its TSA, Rockpoint did not deliver to the Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
472,Pine Cliff submitted that it entered into a service agreement with Campus in 2018 so it would have the option of using NGTL or using a third party pipeline to access the Pipeline.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
473,Pine Cliff entered a firm contract with the third party pipeline for 2018 and 2019 and shipped on the Pipeline every day of 2018 and 2019.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
474,Pine Cliff agreed to Campus’ new terms because Pine Cliff needed to meet commitments under its agreement with the other pipeline.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
475,"When that agreement expired, Pine Cliff stopped using the Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
476,Torxen submitted that it has used the Pipeline every day since December 2017 when it acquired assets from another company.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
477,"Torxen’s Tide Lake, Princess West and Princess East facilities only have the ability to deliver varying volumes to the Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
478,"In April 2019, the Bantry facility was connected to the Pipeline at a cost of $3.51 million dollars.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
479,"As of May 2020, the vast majority of Torxen’s sales volumes flow to NGTL and only the gas for which Torxen has no alternative option is being sent to the Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
480,"Views of the Commission When considering the relative value of services a pipeline offers, the Commission considers many factors such as the priority, availability and reliability of the service; the level of commitment required from the shipper; and flexibility or other desirable attributes provided by the service.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
481,The Commission finds that granting Campus the discretion to set tolls for IT service at $0.32/GJ or lower will provide Campus with the ability to respond to market circumstances and manage risks on the Pipeline.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
482,Campus referenced the context of RH-003-2011 in its application and the Commission asked about potential comparisons to RH-003-2011 in an IR.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
483,"In that decision, TCPL was granted pricing discretion for IT service and the NEB stated: In the current circumstances of underutilization, users of discretionary services receive virtually guaranteed service whenever they need it, but pay for only a portion of the annual costs of the capacity, making it difficult for TransCanada to recover the costs of that capacity.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
484,"In our view, allowing TransCanada to charge higher tolls for discretionary services will provide it with a better opportunity to recover the costs of that capacity from those who use it, during the period of time in which it is used.33 In RH-003-2011 portions of the Mainline were underutilized, as is the North Suffield Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
485,IT shippers both here and in RH-003-2011 received virtually guaranteed access.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
486,The Commission assigns moderate weight to this comparison by Campus.34,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
487,The Commission similarly finds in this case that higher discretionary tolls are appropriate.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
488,"Granting Campus                                                 33 NEB Reasons for Decision, - TransCanada PipeLines Limited, NOVA Gas Transmission Ltd., and Foothills Pipe Lines Ltd., RH-003-2011, March 2013, at 126 of 257.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
489,34,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
490,The Complainants are correct to point out that paragraph 75 of the Campus written argument gets into detail from RH-003-2011 that goes beyond the detail useful in an analogy to a past precedent.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
491,"As a result, this submission at paragraph 75 was given low weight.  ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
492,https://docs2.cer-rec.gc.ca/ll-eng/llisapi.dll/fetch/2000/90465/92833/92843/665035/711778/941262/939799/A51040-1_NEB_-_Reasons_for_Decision_-_TransCanada%2C_NOVA_Gas_and_Foothills_-_2012_and_2013_Final_Tolls_-_RH-003-2011.pdf?nodeid=939800&vernum=-2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
493,Letter Decision Page 22 of 32 the ability to charge discretionary tolls for IT service will provide Campus with a greater opportunity to recover the costs of the Pipeline.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
494,The Commission was not persuaded by the Complainants’ arguments regarding price uncertainty.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
495,Shippers seeking certainty may contract for firm service.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
496,Campus’ introduction of a two year term for firm service is less onerous than the previous minimum of five years.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
497,Shippers may elect to contract for firm service and pay the annual costs related to the capacity they need.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
498,Shippers who sign up for firm service that grants rights to ITp service can also exercise those rights for variable volumes.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
499,"Alternatively, shippers may find features of the IT services more attractive and accept the risk that at certain times of the year they may have to choose between paying high discretionary tolls or not using the pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
500,The Commission accepts the proposed maximum IT toll of $0.32/GJ is competitive with full-path NGTL service to Empress.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
501,"However, NGTL can be used in many different ways to meet the needs of different shippers.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
502,"Campus does not only need to compete with the full path (receipt plus delivery) tolls on NGTL, it needs to compete with receipt only service, with delivery only service, with the secondary market, and with various combinations of those factors.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
503,"As Campus has acknowledged, to effectively manage its risk it will need to set IT tolls lower than $0.32/GJ to respond to ever-changing market dynamics and the different services and markets available through NGTL.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
504,"As Campus is at risk for underutilization of the pipeline, it is incented to set tolls which make its pipeline attractive to potential shippers in order to maximize earnings.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
505,"The maximum IT toll is known, and shippers may use that toll for planning purposes.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
506,There is a possibility of a lower toll depending on market conditions.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
507,"In setting prices for IT service, Campus will implicitly be capped by tolls for FT and ITp service, tolls for various services on NGTL, and by competition from the secondary market.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
508,"While the Commission acknowledges the Complainants’ argument that the previous AltaGas rate for IT tolls remains more appropriate than the Campus IT toll at $0.32/GJ or lower, the Complainants did not acquire a right to indefinitely be offered an IT toll that had only a modest premium compared to FT tolls.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
509,"For all the above reasons, the Commission finds that a market-responsive IT toll at $0.32/GJ or lower is just and reasonable.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
510,"By 29 April 2021, Campus must submit to the CER, for Commission approval, a method for communicating interruptible tolls to its shippers based on industry best practices.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
511,"That submission should include a summary of consultations with interested parties, any outstanding concerns, and Campus’ attempts to address them.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
512,"Current shippers, interested parties and the Complainants should all be served with this filing.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
513,Campus may begin charging the approved tolls on 1 May 2021.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
514,"As this Pipeline continues to be regulated on a Group 2 basis, shippers always have the right to file an appropriately detailed complaint.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
515,The Commission has already directed Campus to file with the CER a revised tariff.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
516,The tariff should include the method by which IT tolls will be posted.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
517,"For clarity, Campus is not required to file these tolls with the CER unless Campus wishes to change the cap of $0.32/GJ.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
518,The Commission directs Campus to file traffic data at key points on its system pursuant to Guide BB of the CER’s Filing Manual.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
519,The data should be as detailed as possible without compromising confidentiality.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
520,The data will be publically posted on the CER’s website,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
521,"so interested parties may access it, therefore filing confidential data would not be appropriate in these circumstances.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
522,Campus may work with CER staff to determine the key points for which traffic data should be reported.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
523,"Campus may also discuss with its shippers any aggregation  Letter Decision Page 23 of 32 that may be necessary, for example, aggregating data for the entire Suffield system or aggregating data seasonally or annually.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
524,4.2 Interim IT tolls Views of Campus,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
525,"On 27 June 2019, the NEB ordered that the Pipeline’s tolls be made interim effective 1 July 2019.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
526,Campus requested an Order from the Commission directing shippers who have received new firm or interruptible service on the Pipeline since 1 July 2019 to pay to Campus the difference between the interim tolls and the tolls payable under the Revised Tolls and Tariff for the interim period.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
527,"Campus also requested the discretion to post a revised IT toll from time to time based on Campus’s assessment of prevailing market conditions, in an amount equal to or less than the IT toll proposed in the Revised Toll and Tariff.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
528,Campus also submitted that it removed the Annual Increase of Tolls and Charges notice because it desires the flexibility to adjust its IT tolls on a monthly basis in response to prevailing market conditions.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
529,Campus submitted an illustrative monthly market-based Suffield System toll calculation to illustrate how it could use its discretion to decrease the IT toll in response to market conditions.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
530,"Specifically, Campus showed the receipt and delivery tolls on NGTL along with the Empress transport day ahead index which is a secondary market that provides transportation from NIT to Empress and therefore competes with the Pipeline.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
531,"Campus submitted that from July 2019 through November 2020 it would have hypothetically set IT tolls at $0.32/GJ for three months; at $0.18, $0.20 and $0.15/GJ for one month each; at $0.13/GJ for five months; and at $0.12/GJ for six months.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
532,Campus clarified that it was not requesting the Commission impose tolls on the interim period consistent with these illustrative tolls.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
533,"However, Campus noted the Commission has the authority to have reference to the entirety of the evidence on the record in determining the relief to be granted.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
534,"In oral argument, Campus stated that it never had discretion to change tolls over the period covered in the illustrative example.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
535,It stated that it relies on Appendix A of its application for relief in respect of interim tolls.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
536,The IT toll listed in Appendix A is $0.32/GJ.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
537,Views of the Complainants,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
538,The Complainants submitted that their calculated cost of service tolls are just and reasonable and are reflective of Campus' cost of service during the interim period and prospectively.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
539,The Complainants requested these tolls should be made final for the interim period.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
540,The Complainants submitted that Campus' behaviour throughout the proceeding delayed the setting of final tolls.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
541,The Complainants were also concerned that Campus circumvented the 15-month advance notice requirement of any toll increase set out in the then-existing contracts and made misrepresentations to the NEB at the time of the transfer application.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
542,"The Complainants submitted that in these circumstances, Campus should not be permitted to benefit from its misconduct in the finalization of interim tolls, and that any increases should only operate prospectively.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
543,"The Complainants also submitted that because Campus' actions resulted in reduction in use of the Pipeline, Campus should be required to return carrying costs during the interim period.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
544,The Complainants submitted that refunds and carrying costs should be calculated for the interim period and provided to shippers.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
545,"In the alternative, the Complainants request that the Commission set the tolls for a period of 15 months from the date of the Commission's toll order, which is equivalent to the toll change notice period that  Letter Decision Page 24 of 32",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
546,the Complainants negotiated in their TSAs with AltaGas.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878
